id,measure_count,note_count,8th,qtr,half,16th,other,per_measure_sig,side_by_side,suspicious
1,3,27,2,0,1,0,24,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.5,0.5,2.0",/tmp/bml-book-compare/0001.png,
2,2,15,2,0,1,0,12,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.5,0.5,2.0",/tmp/bml-book-compare/0002.png,
3,2,15,2,0,1,0,12,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.5,0.5,2.0",/tmp/bml-book-compare/0003.png,
4,3,14,10,3,0,0,1,"0.5,0.5,1.0,0.5,0.5,1.0 | 0.5,0.5,1.0,0.5,0.5,0.5,0.5 | 3.0",/tmp/bml-book-compare/0004.png,
5,2,24,0,0,0,0,24,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333",/tmp/bml-book-compare/0005.png,
6,2,24,0,0,0,0,24,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333",/tmp/bml-book-compare/0006.png,
7,4,20,16,4,0,0,0,"0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0007.png,
8,4,32,32,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0008.png,
10,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0010.png,
11,3,24,24,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0011.png,
