id,error,measure_count,pitched_count,rest_count,chord_count,time_sig,key_sig,empty_measures,max_notes_per_measure,suspicious
1,,3,27,0,0,,,0,12,
2,,2,15,0,0,,,0,12,
3,,2,15,0,0,,<music21.key.KeySignature of 1 flat>,0,12,
4,,3,14,0,0,,,0,7,
5,,2,24,0,0,,,0,12,
6,,2,24,0,0,,,0,12,
7,,4,20,0,0,,,0,5,
8,,4,32,0,0,,,0,8,
9,,3,23,0,1,,,0,8,
10,,3,24,0,0,,,0,8,
11,,3,24,0,0,,,0,8,
12,,3,24,0,0,,,0,8,
13,,2,24,0,0,,,0,12,
14,,4,25,0,0,,,0,8,
15,,2,24,0,0,,,0,12,
16,,4,24,0,0,,,0,8,
17,,4,32,0,0,,,0,8,
18,,8,38,0,0,,,0,8,
19,,4,22,0,0,,,0,6,
20,,3,24,0,0,,,0,8,
21,,4,28,0,0,,,0,8,
22,,4,32,0,0,,,0,8,
23,,3,24,0,0,,,0,8,
24,,4,32,0,0,<music21.meter.TimeSignature 4/4>,,0,8,
25,,4,18,0,0,,,0,8,
26,,3,18,0,0,,,0,8,
27,,4,23,0,0,,,0,8,
28,,4,29,0,0,,,0,8,
29,,3,36,0,0,,,0,12,
30,,3,36,0,0,,,0,12,
31,,3,17,0,0,,,0,8,
32,,3,17,0,0,,,0,8,
33,,4,39,0,0,,,0,12,
34,,4,24,0,0,,,0,7,
35,,3,24,0,0,,,0,8,
36,,4,28,0,0,,,0,8,
37,,3,24,0,0,,,0,8,
38,,5,33,0,0,,,0,8,
39,,7,52,0,0,,,0,8,
40,,10,80,0,0,,,0,8,
41,,2,12,0,0,,,0,8,
42,,3,20,0,0,,,0,8,
43,,6,30,0,0,,,0,7,
44,,3,20,0,0,,,0,8,
45,,3,24,0,0,,,0,8,
46,,2,16,0,0,,,0,8,
47,,4,20,0,0,,,0,7,
48,,6,18,0,0,,,0,5,
49,,4,32,0,0,,,0,8,
50,,4,28,0,0,,,0,7,
51,,5,24,0,1,,,0,5,
52,,12,87,0,0,,,0,8,
53,,8,58,0,0,,,0,8,
54,,5,28,0,0,,,0,8,
55,,9,52,0,0,,,0,8,
56,,6,21,0,0,,,0,5,
57,,4,18,0,0,,,0,8,
58,,4,20,0,0,,,0,5,
59,,3,24,0,0,,,0,8,
60,,3,24,0,0,,,0,8,
61,,4,27,0,0,,,0,8,
62,,5,35,0,0,,,0,7,
63,,3,20,0,0,<music21.meter.TimeSignature 4/4>,,0,8,
64,,3,17,0,0,,,0,8,
65,,4,24,0,0,,,0,8,
66,,4,26,0,0,,,0,8,
67,,4,24,0,0,,,0,8,
68,,4,26,0,0,,,0,8,
